"keys","en","fr"
"THE HOUSE HAS NOTICED — %d in one spin.
%s will be on floor %d: %s
Every ante from here is %d%% dearer.","THE HOUSE HAS NOTICED — %d in one spin.
%s will be on floor %d: %s
Every ante from here is %d%% dearer.","LA MAISON A REMARQUÉ — %d en un seul lancer.
%s sera à l'étage %d : %s
Chaque ante, à partir d'ici, coûte %d %% de plus."
"FLOOR %d
%s","FLOOR %d
%s","ÉTAGE %d
%s"
"Noticed. %s is coming.","Noticed. %s is coming.","Remarqué. %s arrive."
"NEXT: %s","NEXT: %s","SUIVANT : %s"
"DAWN — the House closes. After hours %d, and you walk out.","DAWN — the House closes. After hours %d, and you walk out.","L'AUBE — la Maison ferme. Après la fermeture %d, et vous sortez."
"THE HOUSE KEPT YOU — after hours %d","THE HOUSE KEPT YOU — after hours %d","LA MAISON VOUS A GARDÉ — après la fermeture %d"
"%s     score %d     rank %d on this ruleset","%s     score %d     rank %d on this ruleset","%s     score %d     rang %d sur ce mode de jeu"
"F5 for a new run     F2 for setup","F5 for a new run     F2 for setup","F5 pour une nouvelle partie     F2 pour la configuration"
"New run / Setup — the buttons top right","New run / Setup — the buttons top right","Nouvelle partie / Configuration — les boutons en haut à droite"
"THE ACCOUNT IS SETTLED","THE ACCOUNT IS SETTLED","LE COMPTE EST SOLDÉ"
"THE HOUSE KEEPS THE SURETY","THE HOUSE KEEPS THE SURETY","LA MAISON GARDE LA CAUTION"
"score %d     rank %d on this ruleset","score %d     rank %d on this ruleset","score %d     rang %d sur ce mode de jeu"
"UNLOCKED: %s","UNLOCKED: %s","DÉBLOQUÉ : %s"
"NUDGE — %d left.  Each paid nudge costs a spin.","NUDGE — %d left.  Each paid nudge costs a spin.","POUSSÉE — %d restantes.  Chaque poussée payante coûte un lancer."
"THE REEL TODAY — %s heavy, %s light.","THE REEL TODAY — %s heavy, %s light.","LE ROULEAU DU JOUR — %s chargé, %s allégé."
"%s, BECAUSE THE HOUSE NOTICED — %s","%s, BECAUSE THE HOUSE NOTICED — %s","%s, PARCE QUE LA MAISON A REMARQUÉ — %s"
"LAST FLOOR — ante %d, and you still owe %d.","LAST FLOOR — ante %d, and you still owe %d.","DERNIER ÉTAGE — ante %d, et vous devez encore %d."
"Clear both, or the House keeps you.","Clear both, or the House keeps you.","Réglez les deux, ou la Maison vous garde."
"SPACE to begin","SPACE to begin","ESPACE pour commencer"
"TAP to begin","TAP to begin","TOUCHEZ pour commencer"
"ESC opens the door, where the lesson can be skipped","ESC opens the door, where the lesson can be skipped","ESC ouvre la porte, où la leçon peut être passée"
"the door, top right, skips the lesson","the door, top right, skips the lesson","la porte, en haut à droite, permet de passer la leçon"
"THE CLERK — Basement. Your account is open and the machine is yours. Pull the lever.","THE CLERK — Basement. Your account is open and the machine is yours. Pull the lever.","LE COMMIS — Sous-sol. Votre compte est ouvert et la machine est à vous. Tirez le levier."
"SPACE, or click the lever     %s","SPACE, or click the lever     %s","ESPACE, ou cliquez sur le levier     %s"
"TAP to pull     %s","TAP to pull     %s","TOUCHEZ pour tirer     %s"
"THE CLERK — Three reels, one line. The middle row is the one that pays; the rows above and below are what nearly landed, and they matter later. Pull again.","THE CLERK — Three reels, one line. The middle row is the one that pays; the rows above and below are what nearly landed, and they matter later. Pull again.","LE COMMIS — Trois rouleaux, une ligne. La rangée du milieu est celle qui paie ; les rangées au-dessus et en dessous sont ce qui a failli tomber, et cela comptera plus tard. Tirez encore."
"SPACE     %s","SPACE     %s","ESPACE     %s"
"TAP     %s","TAP     %s","TOUCHEZ     %s"
"THE CLERK — A pair. The machine owes you nudges. A nudge drops the symbol above a reel onto the line, and each one costs a spin off the floor. The buttons say what each nudge would pay. Take one that pays, or TAKE IT and keep what is standing.","THE CLERK — A pair. The machine owes you nudges. A nudge drops the symbol above a reel onto the line, and each one costs a spin off the floor. The buttons say what each nudge would pay. Take one that pays, or TAKE IT and keep what is standing.","LE COMMIS — Une paire. La machine vous doit des poussées. Une poussée fait descendre le symbole au-dessus d'un rouleau jusqu'à la ligne, et chacune coûte un lancer sur l'étage. Les boutons indiquent ce que chaque poussée paierait. Prenez-en une qui paie, ou ACCEPTEZ et gardez ce qui est en jeu."
"THE CLERK — A pair, and nothing owed. Hold it: lock the two matching reels and spin the third for the set. A lock costs a credit on the spin.","THE CLERK — A pair, and nothing owed. Hold it: lock the two matching reels and spin the third for the set. A lock costs a credit on the spin.","LE COMMIS — Une paire, et rien de dû. Retenez-la : bloquez les deux rouleaux identiques et lancez le troisième pour compléter la série. Un blocage coûte un crédit sur le lancer."
"press the reel's number, or its button     %s","press the reel's number, or its button     %s","appuyez sur le numéro du rouleau, ou son bouton     %s"
"tap the reel's button     %s","tap the reel's button     %s","touchez le bouton du rouleau     %s"
"THE CLERK — Locked. Now spin the third.","THE CLERK — Locked. Now spin the third.","LE COMMIS — Bloqué. Maintenant, lancez le troisième."
"THE CLERK — The ante is due when the spins run out. Cover it or the House keeps the table — and the surety on the account is you. The column on the right is how much of you it holds; watch it. Cover the ante with spins to spare and you may SETTLE early: the House pays you in chips for every spin you leave — twice over, with half of them still on the clock. Chips buy hardware. Credits pay the ante. They never mix.","THE CLERK — The ante is due when the spins run out. Cover it or the House keeps the table — and the surety on the account is you. The column on the right is how much of you it holds; watch it. Cover the ante with spins to spare and you may SETTLE early: the House pays you in chips for every spin you leave — twice over, with half of them still on the clock. Chips buy hardware. Credits pay the ante. They never mix.","LE COMMIS — L'ante est due quand les lancers sont épuisés. Couvrez-la, ou la Maison garde la table — et la caution sur le compte, c'est vous. La colonne à droite indique la part de vous qu'elle détient ; surveillez-la. Couvrez l'ante avec des lancers en réserve, et vous pourrez RÉGLER par anticipation : la Maison vous paie en jetons pour chaque lancer que vous laissez — le double, la moitié restant encore au compteur. Les jetons achètent du matériel. Les crédits paient l'ante. Ils ne se mélangent jamais."
"THE CLERK — The draft. Chips buy hardware; hardware bolts on and stays. What you cannot afford, you may sign for — on the slate, against the debt, at the House's rate. Win loudly and the House notices: it sends one more of its people to the next floor, and says so. The doorman on this form takes chips to send nobody. From the next floor the draft may deal a chit — paper, spent once, at its moment. Everything else the House will explain when it charges you for it.","THE CLERK — The draft. Chips buy hardware; hardware bolts on and stays. What you cannot afford, you may sign for — on the slate, against the debt, at the House's rate. Win loudly and the House notices: it sends one more of its people to the next floor, and says so. The doorman on this form takes chips to send nobody. From the next floor the draft may deal a chit — paper, spent once, at its moment. Everything else the House will explain when it charges you for it.","LE COMMIS — Le tirage. Les jetons achètent du matériel ; le matériel se boulonne et reste. Ce que vous ne pouvez pas vous offrir, vous pouvez le signer — sur l'ardoise, contre la dette, au taux de la Maison. Gagnez bruyamment et la Maison le remarque : elle envoie un de ses gens de plus à l'étage suivant, et le dit. Le portier, sur ce formulaire, prend des jetons pour n'envoyer personne. À partir de l'étage suivant, le tirage peut distribuer un bon — du papier, dépensé une fois, en son moment. Pour le reste, la Maison vous l'expliquera quand elle vous le facturera."
"SPACE leaves the draft","SPACE leaves the draft","ESPACE quitte le tirage"
"STATEMENT OF ACCOUNT — %s","STATEMENT OF ACCOUNT — %s","RELEVÉ DE COMPTE — %s"
"%d cr","%d cr","%d cr"
"signed the slate","signed the slate","signé à l'ardoise"
"settled early","settled early","réglé par anticipation"
"THE MOVES      ","THE MOVES      ","LES COUPS      "
"FITTED   , ","FITTED   , ","MONTÉ   , "
"R runs this seed back     F5 for a new run     F2 for the door","R runs this seed back     F5 for a new run     F2 for the door","R relance cette graine     F5 pour une nouvelle partie     F2 pour la porte"
"TAP to spin / advance     buttons top-right","TAP to spin / advance     buttons top-right","TOUCHEZ pour lancer / avancer     boutons en haut à droite"
"Seed %s","Seed %s","Graine %s"
"ANTE %d %s","ANTE %d %s","ANTE %d %s"
"+%d chips (%s)","+%d chips (%s)","+%d jetons (%s)"
"Settled with %d spins left","Settled with %d spins left","Réglé avec %d lancers restants"
"%s the %s","%s the %s","%s le %s"
"Entered %s","Entered %s","Entré dans %s"
"Entered %s — %s is on the floor","Entered %s — %s is on the floor","Entré dans %s — %s est à l'étage"
"Pocketed %s","Pocketed %s","Empoché %s"
"Spent %s","Spent %s","Dépensé %s"
"Paid the doorman %d chips; %s stays home","Paid the doorman %d chips; %s stays home","Payé le portier %d jetons ; %s ne vient pas"
"The House noticed: %s on floor %d","The House noticed: %s on floor %d","La Maison a remarqué : %s à l'étage %d"
"%s: the vig, again — %d paid","%s: the vig, again — %d paid","%s : l'agio, encore — %d payé"
"%s took %d","%s took %d","%s a pris %d"
"Floor %d cleared","Floor %d cleared","Étage %d franchi"
"Unlocked %s","Unlocked %s","Débloqué %s"
"Signed %s","Signed %s","Signé %s"
"The House: %s","The House: %s","La Maison : %s"
"Acquired %s","Acquired %s","Acquis %s"
"Run ended: %s","Run ended: %s","Partie terminée : %s"
"Your account is open. The machine is yours until it is not.","Your account is open. The machine is yours until it is not.","Votre compte est ouvert. La machine est à vous, jusqu'à ce qu'elle ne le soit plus."
"Seven floors, one debt, and the House has all the time in the world.","Seven floors, one debt, and the House has all the time in the world.","Sept étages, une dette, et la Maison a tout son temps."
"Every floor teaches you something. Every floor charges for it.","Every floor teaches you something. Every floor charges for it.","Chaque étage vous enseigne quelque chose. Chaque étage le facture."
"The terms are printed. The count is kept. The ante rises.","The terms are printed. The count is kept. The ante rises.","Les conditions sont imprimées. La surveillance est tenue. L'ante monte."
"BREAK THE BANK","BREAK THE BANK","FAITES SAUTER LA BANQUE"
"THE FLOOR IS PAUSED","THE FLOOR IS PAUSED","L'ÉTAGE EST EN PAUSE"
"The House waits. It is good at it.","The House waits. It is good at it.","La Maison attend. Elle sait faire."
"the Clerk goes quiet","the Clerk goes quiet","le Commis se tait"
"the House keeps the table","the House keeps the table","la Maison garde la table"
"the run on the table","the run on the table","la partie en cours"
"a new run on the machine below","a new run on the machine below","une nouvelle partie sur la machine ci-dessous"
"%d of %d pieces of hardware seen","%d of %d pieces of hardware seen","%d pièces de matériel sur %d découvertes"
"%s — one seed, everyone","%s — one seed, everyone","%s — une graine, tout le monde"
"a seed: TILT-MARBLE-COBALT, a number, or any phrase","a seed: TILT-MARBLE-COBALT, a number, or any phrase","une graine : TILT-MARBLE-COBALT, un nombre, ou n'importe quelle phrase"
"Standard — the game as shipped.","Standard — the game as shipped.","Standard — le jeu tel qu'il est livré."
"   Next rung, %s: %s.","   Next rung, %s: %s.","   Palier suivant, %s : %s."
"win at the rung below","win at the rung below","gagnez au palier inférieur"
"THE HOUSE'S PEOPLE","THE HOUSE'S PEOPLE","LES GENS DE LA MAISON"
"HOW A FLOOR RUNS","HOW A FLOOR RUNS","COMMENT SE DÉROULE UN ÉTAGE"
"%s   %d of %d","%s   %d of %d","%s   %d sur %d"
"Pace is how long the reels and the count take; hold the lever, or Space, through a payout to hurry it. The machine carries its controls and its counters; the overlay repeats them. Louder than 0 dB is the House's own risk.","Pace is how long the reels and the count take; hold the lever, or Space, through a payout to hurry it. The machine carries its controls and its counters; the overlay repeats them. Louder than 0 dB is the House's own risk.","Le rythme, c'est le temps que prennent les rouleaux et le décompte ; maintenez le levier, ou Espace, pendant un paiement pour l'accélérer. La machine porte ses propres commandes et compteurs ; l'incrustation les répète. Au-delà de 0 dB, c'est aux risques de la Maison."
"%+.0f dB","%+.0f dB","%+.0f dB"
"RUNS %d   WINS %d   BEST FLOOR %d   BIGGEST SPIN %d   VIG PAID %d   AFTER HOURS %d   FAVOURITE %s   UNLOCKED %d of %d","RUNS %d   WINS %d   BEST FLOOR %d   BIGGEST SPIN %d   VIG PAID %d   AFTER HOURS %d   FAVOURITE %s   UNLOCKED %d of %d","PARTIES %d   VICTOIRES %d   MEILLEUR ÉTAGE %d   PLUS GROS LANCER %d   AGIO PAYÉ %d   APRÈS FERMETURE %d   FAVORI %s   DÉBLOQUÉ %d sur %d"
"   %d of %d machines open.","   %d of %d machines open.","   %d machines sur %d ouvertes."
" Next, %s."," Next, %s."," Suivant, %s."
"The ordinary game. Challenges open through play.","The ordinary game. Challenges open through play.","Le jeu ordinaire. Les défis s'ouvrent en jouant."
"THE DRAFT — FLOOR %d CLEARED      CHIPS %d      CASH %d      DEBT %d","THE DRAFT — FLOOR %d CLEARED      CHIPS %d      CASH %d      DEBT %d","LE TIRAGE — ÉTAGE %d FRANCHI      JETONS %d      ARGENT %d      DETTE %d"
"1-%d or click to buy     arrows and ENTER on a pad     SPACE / Q to leave","1-%d or click to buy     arrows and ENTER on a pad     SPACE / Q to leave","1-%d ou cliquez pour acheter     flèches et ENTRÉE sur manette     ESPACE / Q pour quitter"
"Tap an offer to buy","Tap an offer to buy","Touchez une offre pour acheter"
"STRIKE the %s  −%d weight","STRIKE the %s  −%d weight","BIFFER le %s  −%d de poids"
"PRINT more %s  +%d weight","PRINT more %s  +%d weight","IMPRIMER plus de %s  +%d de poids"
"GILD the %s  +%d a symbol","GILD the %s  +%d a symbol","DORER le %s  +%d par symbole"
"%s%s   %d chips","%s%s   %d chips","%s%s   %d jetons"
"%s   %s   %d chips","%s   %s   %d chips","%s   %s   %d jetons"
"carrying: %s","carrying: %s","transporte : %s"
"   (%d of %d)","   (%d of %d)","   (%d sur %d)"
"The House noticed %d in one spin. %s is coming to floor %d: %s","The House noticed %d in one spin. %s is coming to floor %d: %s","La Maison a remarqué %d en un seul lancer. %s arrive à l'étage %d : %s"
"A WORD   %d chips, and nobody comes","A WORD   %d chips, and nobody comes","UN MOT   %d jetons, et personne ne vient"
"REROLL  %d chips","REROLL  %d chips","RELANCE  %d jetons"
"SELL %s  +%d","SELL %s  +%d","VENDRE %s  +%d"
"%d chips","%d chips","%d jetons"
"SLATE
%d cr owed","SLATE
%d cr owed","ARDOISE
%d cr dus"
"THE BACK OFFICE — SIGN FOR %s","THE BACK OFFICE — SIGN FOR %s","LE BACK-OFFICE — SIGNER POUR %s"
"THE NEXT FLOOR","THE NEXT FLOOR","L'ÉTAGE SUIVANT"
"1-%d or click to sign     the terms hold for one floor","1-%d or click to sign     the terms hold for one floor","1-%d ou cliquez pour signer     les conditions valent pour un étage"
"Tap a contract to sign     the terms hold for one floor","Tap a contract to sign     the terms hold for one floor","Touchez un contrat pour signer     les conditions valent pour un étage"
"The ante on %s was %d. You held %d. The House keeps the table, and the surety.","The ante on %s was %d. You held %d. The House keeps the table, and the surety.","L'ante de %s était de %d. Vous en aviez %d. La Maison garde la table, et la caution."
"the floor","the floor","l'étage"
"Every floor cleared, and %d still on the account. The House keeps the surety.","Every floor cleared, and %d still on the account. The House keeps the surety.","Chaque étage franchi, et %d encore sur le compte. La Maison garde la caution."
"Every floor cleared and the account settled. The surety is returned.","Every floor cleared and the account settled. The surety is returned.","Chaque étage franchi et le compte soldé. La caution est rendue."
"Dawn. The House closes, and you walk out with what you kept.","Dawn. The House closes, and you walk out with what you kept.","L'aube. La Maison ferme, et vous sortez avec ce que vous avez gardé."
"The account is closed.","The account is closed.","Le compte est clos."
"Short by %d at the close of floor %d, with the spins gone.","Short by %d at the close of floor %d, with the spins gone.","Il manquait %d à la clôture de l'étage %d, les lancers épuisés."
"The House noticed you %s: %d in one spin on floor %d, and sent someone up.","The House noticed you %s: %d in one spin on floor %d, and sent someone up.","La Maison vous a remarqué %s : %d en un seul lancer à l'étage %d, et a envoyé quelqu'un."
"%d times","%d times","%d fois"
"You never held a reel. A pair held is a third drum spun for the line.","You never held a reel. A pair held is a third drum spun for the line.","Vous n'avez jamais retenu un rouleau. Une paire retenue, c'est un troisième tambour lancé pour la ligne."
"You declined nudges %d times and took %d.","You declined nudges %d times and took %d.","Vous avez refusé les poussées %d fois et en avez pris %d."
"You never settled a floor early. The House pays scrip for the spins you do not need.","You never settled a floor early. The House pays scrip for the spins you do not need.","Vous n'avez jamais réglé un étage par anticipation. La Maison paie en jetons les lancers dont vous n'avez pas besoin."
"You left three or more chips on the table at %d of %d drafts.","You left three or more chips on the table at %d of %d drafts.","Vous avez laissé trois jetons ou plus sur la table à %d tirages sur %d."
"The stake stayed at one from the moment it was offered.","The stake stayed at one from the moment it was offered.","La mise est restée à un depuis qu'elle a été proposée."
"Nothing was ever put in the vault.","Nothing was ever put in the vault.","Rien n'a jamais été mis au coffre."
"The principal was never paid down; it compounded every floor.","The principal was never paid down; it compounded every floor.","Le principal n'a jamais été remboursé ; il s'est composé à chaque étage."
"The House offers your debt back, a chair, and the surety signed again.","The House offers your debt back, a chair, and the surety signed again.","La Maison vous propose votre dette en retour, une chaise, et la caution signée à nouveau."
"After Hours %d","After Hours %d","Après Fermeture %d"
"The House keeps the lights on.","The House keeps the lights on.","La Maison laisse les lumières allumées."
"The House noticed you once: %d in one spin on floor %d, and sent someone up.","The House noticed you once: %d in one spin on floor %d, and sent someone up.","La Maison vous a remarqué une fois : %d en un seul lancer à l'étage %d, et a envoyé quelqu'un."
"The House noticed you %d times: %d in one spin on floor %d, and sent someone up.","The House noticed you %d times: %d in one spin on floor %d, and sent someone up.","La Maison vous a remarqué %d fois : %d en un seul lancer à l'étage %d, et a envoyé quelqu'un."
"THE BACK OFFICE","THE BACK OFFICE","LE BACK-OFFICE"
"1-3 to sign","1-3 to sign","1-3 pour signer"
"SPACE spin / advance     TAB camera     F5 new run","SPACE spin / advance     TAB camera     F5 new run","ESPACE lancer / avancer     TAB caméra     F5 nouvelle partie"
"THE DRAFT","THE DRAFT","LE TIRAGE"
"1-4 to buy     SPACE to leave","1-4 to buy     SPACE to leave","1-4 pour acheter     ESPACE pour quitter"
"New run","New run","Nouvelle partie"
"   +%.1fx","   +%.1fx","   +%.1fx"
"%d reels  %d rows","%d reels  %d rows","%d rouleaux  %d rangées"
"no nudge","no nudge","aucune poussée"
"no better","no better","rien de mieux"
"skull out","skull out","crâne retiré"
"skull in","skull in","crâne ajouté"
"a pair","a pair","une paire"
"%s in","%s in","%s ajouté"
"%d cr standing","%d cr standing","%d cr en jeu"
"%d → %d at %d%%","%d → %d at %d%%","%d → %d à %d %%"
"the floor is out of spins","the floor is out of spins","l'étage n'a plus de lancers"
"%d cr  −%d%%","%d cr  −%d%%","%d cr  −%d %%"
"+%d chips%s","+%d chips%s","+%d jetons%s"
" · QUICK"," · QUICK"," · RAPIDE"
"LEDGER OF ACCOUNT","LEDGER OF ACCOUNT","GRAND LIVRE DU COMPTE"
"PRINCIPAL  %d","PRINCIPAL  %d","PRINCIPAL  %d"
"%d more devices","%d more devices","%d appareils de plus"
"+%d chip%s","+%d chip%s","+%d jeton%s"
"LEDGER OF ACCOUNT
--------------------
DEBT 0","LEDGER OF ACCOUNT
--------------------
DEBT 0","GRAND LIVRE DU COMPTE
--------------------
DETTE 0"
"No. 0447 · THE HOUSE","No. 0447 · THE HOUSE","N° 0447 · LA MAISON"
"INSPECTED
— · —","INSPECTED
— · —","INSPECTÉ
— · —"
"NO CREDIT.
NO EXCEPTIONS.
— MGMT","NO CREDIT.
NO EXCEPTIONS.
— MGMT","PAS DE CRÉDIT.
AUCUNE EXCEPTION.
— DIRECTION"
"FLOOR 1
THE BASEMENT","FLOOR 1
THE BASEMENT","ÉTAGE 1
LE SOUS-SOL"
"NO CREDIT","NO CREDIT","PAS DE CRÉDIT"
"
--------------------
DEBT 0","
--------------------
DEBT 0","
--------------------
DETTE 0"
"NO CREDIT.","NO CREDIT.","PAS DE CRÉDIT."
"NO EXCEPTIONS.","NO EXCEPTIONS.","AUCUNE EXCEPTION."
"— MGMT","— MGMT","— DIRECTION"
"FLOOR 1
","FLOOR 1
","ÉTAGE 1
"
"HOLD & NUDGE","HOLD & NUDGE","BLOCAGE & POUSSÉE"
"THE MARKET","THE MARKET","LE MARCHÉ"
"THE STAKE","THE STAKE","LA MISE"
"THE GAMBLE","THE GAMBLE","LE PARI"
"THE VAULT","THE VAULT","LE COFFRE"
"HOUSE CONTRACTS","HOUSE CONTRACTS","CONTRATS DE LA MAISON"
"THE WORKS","THE WORKS","LES ROUAGES"
"THE COUNT","THE COUNT","LA SURVEILLANCE"
"Hold reels between spins. Land a pair and the machine owes you a nudge.","Hold reels between spins. Land a pair and the machine owes you a nudge.","Retenez des rouleaux entre les lancers. Formez une paire, et la machine vous doit une poussée."
"Reroll the draft, sell hardware back, or buy it on the slate.","Reroll the draft, sell hardware back, or buy it on the slate.","Relancez le tirage, revendez du matériel, ou achetez-le sur l'ardoise."
"Raise the stake. It costs more per spin and pays the same multiple.","Raise the stake. It costs more per spin and pays the same multiple.","Augmentez la mise. Elle coûte plus par lancer et paie le même multiple."
"A win can be doubled. Four times, if your nerve holds.","A win can be doubled. Four times, if your nerve holds.","Un gain peut être doublé. Quatre fois, si votre nerf tient."
"Cash left in the vault earns interest — and cannot pay an ante.","Cash left in the vault earns interest — and cannot pay an ante.","L'argent laissé au coffre rapporte des intérêts — et ne peut pas payer une ante."
"Sign for the floor. Every contract gives and every contract takes.","Sign for the floor. Every contract gives and every contract takes.","Signez pour l'étage. Chaque contrat donne, et chaque contrat prend."
"Bolt on reels and rows. The machine gets bigger from here.","Bolt on reels and rows. The machine gets bigger from here.","Boulonnez des rouleaux et des rangées. La machine grandit à partir d'ici."
"The House is counting. Win too well and it answers.","The House is counting. Win too well and it answers.","La Maison compte. Gagnez trop bien, et elle répond."
", gilt",", gilt",", doré"
"%s, on the payroll","%s, on the payroll","%s, sur la paie"
"%s — voided by the skull","%s — voided by the skull","%s — annulé par le crâne"
"No pattern","No pattern","Aucun motif"
"Contract, on the pattern","Contract, on the pattern","Contrat, sur le motif"
"%s synergy","%s synergy","synergie %s"
"scores the line again x%.1f","scores the line again x%.1f","marque la ligne à nouveau x%.1f"
"+%.2fx, %d devices","+%.2fx, %d devices","+%.2fx, %d appareils"
"The vault, as collateral","The vault, as collateral","Le coffre, en garantie"
"The skim","The skim","L'écrémage"
"%s skims","%s skims","%s écrème"
"The audit","The audit","L'audit"
" and "," and "," et "
"A pair","A pair","Une paire"
"Three of a kind","Three of a kind","Un brelan"
"Jackpot — the whole line","Jackpot — the whole line","Jackpot — la ligne entière"
"Clean sweep","Clean sweep","Carton plein"
"+%d chip","+%d chip","+%d jeton"
"+%d chips","+%d chips","+%d jetons"
"UNPAID","UNPAID","IMPAYÉ"
"CONTRACTS","CONTRACTS","CONTRATS"
"CHITS","CHITS","BONS"
"CHIPS","CHIPS","JETONS"
"STAKE","STAKE","MISE"
"VAULT","VAULT","COFFRE"
"WORKS","WORKS","ROUAGES"
"SIGNED","SIGNED","SIGNÉ"
"COUNT","COUNT","SURVEILLANCE"
"NUDGE","NUDGE","POUSSÉE"
"HELD","HELD","RETENU"
"HOLD","HOLD","RETENIR"
"three alike","three alike","trois identiques"
"the jackpot","the jackpot","le jackpot"
"a sweep","a sweep","un carton plein"
"CASH","CASH","ARGENT"
"ANTE","ANTE","ANTE"
"HEAT","HEAT","SURVEILLANCE"
"SURETY","SURETY","CAUTION"
"INSPECTED","INSPECTED","INSPECTÉ"
"VOID","VOID","ANNULÉ"
"TANNOY","TANNOY","HAUT-PARLEUR"
"INTEREST","INTEREST","INTÉRÊT"
"DEBT_PAYDOWN","DEBT_PAYDOWN","DEBT_PAYDOWN"
"The lights stay on
for you.","The lights stay on
for you.","Les lumières restent allumées
pour vous."
"Your debt is back.
So is your chair.","Your debt is back.
So is your chair.","Votre dette est de retour.
Votre chaise aussi."
"Dawn is a long way off.
We are in no hurry.","Dawn is a long way off.
We are in no hurry.","L'aube est encore loin.
Nous ne sommes pas pressés."
"Even now,
we are counting.","Even now,
we are counting.","Même maintenant,
nous comptons."
"You owe more than
this floor is worth.","You owe more than
this floor is worth.","Vous devez plus
que cet étage ne vaut."
"The vig is due first.
It always was.","The vig is due first.
It always was.","L'agio est dû en premier.
Il l'a toujours été."
"Clear the ante.
Then clear the rest.","Clear the ante.
Then clear the rest.","Réglez l'ante.
Puis réglez le reste."
"The vig is small.
We are patient.","The vig is small.
We are patient.","L'agio est modeste.
Nous sommes patients."
"Your account is open.
The machine is yours.","Your account is open.
The machine is yours.","Votre compte est ouvert.
La machine est à vous."
"One bulb. One machine.
We have the paperwork.","One bulb. One machine.
We have the paperwork.","Une ampoule. Une machine.
Nous avons la paperasse."
"The market is open.
Everything is for sale.","The market is open.
Everything is for sale.","Le marché est ouvert.
Tout est à vendre."
"Wager what you like.
The ladder is yours.","Wager what you like.
The ladder is yours.","Misez ce que vous voulez.
L'échelle est à vous."
"Deposits welcome.
Withdrawals noted.","Deposits welcome.
Withdrawals noted.","Dépôts bienvenus.
Retraits consignés."
"Read the second half.
Everyone signs.","Read the second half.
Everyone signs.","Lisez la seconde moitié.
Tout le monde signe."
"Every machine here
is wired to yours.","Every machine here
is wired to yours.","Chaque machine ici
est reliée à la vôtre."
"We have been counting.
We never stopped.","We have been counting.
We never stopped.","Nous avons compté.
Nous n'avons jamais arrêté."
"Someone is coming
over to your machine.","Someone is coming
over to your machine.","Quelqu'un se dirige
vers votre machine."
"The good symbols
have been put away.","The good symbols
have been put away.","Les bons symboles
ont été rangés."
"A share comes back
over the bar now.","A share comes back
over the bar now.","Une part revient
par-dessus le comptoir, désormais."
"CONTROLS AND COUNTERS","CONTROLS AND COUNTERS","COMMANDES ET COMPTEURS"
"STEADY — no flicker, flash, tearing or shake","STEADY — no flicker, flash, tearing or shake","STABLE — sans scintillement, flash, déchirure ni tremblement"
"SCREEN","SCREEN","ÉCRAN"
"FULL SCREEN","FULL SCREEN","PLEIN ÉCRAN"
"SYNC","SYNC","SYNCHRO"
"WAIT FOR THE SCREEN — no tearing","WAIT FOR THE SCREEN — no tearing","ATTENDRE L'ÉCRAN — sans déchirure"
"DETAIL","DETAIL","DÉTAIL"
"THE KEYS","THE KEYS","LES TOUCHES"
"PRESS A KEY","PRESS A KEY","APPUYEZ SUR UNE TOUCHE"
"PUT THE KEYS BACK","PUT THE KEYS BACK","RÉINITIALISER LES TOUCHES"
"LANGUAGE","LANGUAGE","LANGUE"
"Click a key to move it. The next thing pressed takes its place; the reels stay on 1 to 5.","Click a key to move it. The next thing pressed takes its place; the reels stay on 1 to 5.","Cliquez sur une touche pour la déplacer. La prochaine touche pressée prend sa place ; les rouleaux restent sur 1 à 5."
"SPIN / ADVANCE","SPIN / ADVANCE","LANCER / AVANCER"
"CONFIRM","CONFIRM","CONFIRMER"
"LEAVE THE DRAFT","LEAVE THE DRAFT","QUITTER LE TIRAGE"
"CAMERA","CAMERA","CAMÉRA"
"VIEW LEFT","VIEW LEFT","VUE GAUCHE"
"VIEW RIGHT","VIEW RIGHT","VUE DROITE"
"THE DOOR","THE DOOR","LA PORTE"
"NEW RUN","NEW RUN","NOUVELLE PARTIE"
"RUN THE SEED BACK","RUN THE SEED BACK","REJOUER LA GRAINE"
"PAD A","PAD A","PAD A"
"PAD B","PAD B","PAD B"
"PAD X","PAD X","PAD X"
"PAD Y","PAD Y","PAD Y"
"PAD BACK","PAD BACK","PAD BACK"
"PAD START","PAD START","PAD START"
"PAD L","PAD L","PAD L"
"PAD R","PAD R","PAD R"
"PAD ←","PAD ←","PAD ←"
"PAD →","PAD →","PAD →"
"PAD ↑","PAD ↑","PAD ↑"
"PAD ↓","PAD ↓","PAD ↓"
"PAD %d","PAD %d","PAD %d"
"CLICK","CLICK","CLIC"
"MOUSE %d","MOUSE %d","SOURIS %d"
"Choose a key, then press what should take its place. The reels stay on 1 to 5.","Choose a key, then press what should take its place. The reels stay on 1 to 5.","Choisissez une touche, puis appuyez sur celle qui doit prendre sa place. Les rouleaux restent sur 1 à 5."
"Gravedigger's Fee","Gravedigger's Fee","Les Honoraires du Fossoyeur"
"The whole payroll, standing. +2.4x per skull on the line.","The whole payroll, standing. +2.4x per skull on the line.","Toute la paie, debout. +2,4x par crâne sur la ligne."
"High Water Mark","High Water Mark","La Marque des Hautes Eaux"
